year,month,day,temperature
2011,05,14,120
2011,05,15,115
2011,05,16,133
2011,05,17,136
2011,05,18,142
2011,05,19,130
2011,05,20,136
2011,05,21,158
2011,05,22,147
2011,05,23,157
2011,05,24,134
2011,05,25,157
2011,05,26,145
2011,05,27,122
2011,05,28,130
2011,05,29,156
2011,05,30,183
2011,05,31,129
2011,06,01,136
2011,06,02,164
2011,06,03,184
2011,06,04,200
2011,06,05,161
2011,06,06,149
2011,06,07,153
2011,06,08,143
2011,06,09,145
2011,06,10,134
2011,06,11,121
2011,06,12,145
2011,06,13,158
2011,06,14,160
2011,06,15,169
2011,06,16,155
2011,06,17,149
2011,06,18,147
2011,06,19,140
2011,06,20,154
2011,06,21,171
2011,06,22,152
2011,06,23,155
2011,06,24,143
2011,06,25,147
2011,06,26,197
2011,06,27,247
2011,06,28,242
2011,06,29,161
2011,06,30,150
2011,07,01,142
2011,07,02,139
2011,07,03,147
2011,07,04,156
2011,07,05,182
2011,07,06,175
2011,07,07,182
2011,07,08,176
2011,07,09,168
2011,07,10,166
2011,07,11,182
2011,07,12,179
2011,07,13,135
2011,07,14,145
2011,07,15,174
2011,07,16,163
2011,07,17,158
2011,07,18,149
2011,07,19,161
2011,07,20,171
2011,07,21,165
2011,07,22,150
2011,07,23,136
2011,07,24,129
2011,07,25,146
2011,07,26,153
2011,07,27,173
2011,07,28,184
2011,07,29,152
2011,07,30,146
2011,07,31,145
2011,08,01,160
2011,08,02,210
2011,08,03,188
2011,08,04,191
2011,08,05,185
2011,08,06,180
2011,08,07,168
2011,08,08,156
2011,08,09,144
2011,08,10,155
2011,08,11,174
2011,08,12,169
2011,08,13,171
2011,08,14,175
2011,08,15,162
2011,08,16,176
2011,08,17,169
2011,08,18,158
2011,08,19,154
2011,08,20,170
2011,08,21,194
2011,08,22,178
2011,08,23,189
2011,08,24,176
2011,08,25,173
2011,08,26,178
2011,08,27,144
2011,08,28,143
2011,08,29,133
2011,08,30,135
2011,08,31,140
2011,09,01,129
2011,09,02,172
2011,09,03,211
2011,09,04,184
2011,09,05,155
2011,09,06,152
2011,09,07,155
2011,09,08,151
2011,09,09,177
2011,09,10,206
2011,09,11,167
2011,09,12,169
2011,09,13,158
2011,09,14,145
2011,09,15,139
2011,09,16,140
2011,09,17,148
2011,09,18,118
2011,09,19,131
2011,09,20,156
2011,09,21,156
2011,09,22,145
2011,09,23,136
2011,09,24,139
2011,09,25,159
2011,09,26,169
2011,09,27,163
2011,09,28,169
2011,09,29,188
2011,09,30,178
2011,10,01,174
2011,10,02,171
2011,10,03,181
2011,10,04,173
2011,10,05,173
2011,10,06,138
2011,10,07,111
2011,10,08,104
2011,10,09,122
2011,10,10,171
2011,10,11,157
2011,10,12,113
2011,10,13,101
2011,10,14,90
2011,10,15,78
2011,10,16,81
2011,10,17,121
2011,10,18,114
2011,10,19,91
2011,10,20,77
2011,10,21,74
2011,10,22,64
2011,10,23,84
2011,10,24,94
2011,10,25,100
2011,10,26,103
2011,10,27,109
2011,10,28,121
2011,10,29,124
2011,10,30,130
2011,10,31,132
2011,11,01,126
2011,11,02,112
2011,11,03,142
2011,11,04,147
2011,11,05,128
2011,11,06,116
2011,11,07,101
2011,11,08,89
2011,11,09,88
2011,11,10,71
2011,11,11,74
2011,11,12,66
2011,11,13,55
2011,11,14,29
2011,11,15,16
2011,11,16,21
2011,11,17,36
2011,11,18,67
2011,11,19,44
2011,11,20,38
2011,11,21,23
2011,11,22,46
2011,11,23,84
2011,11,24,83
2011,11,25,94
2011,11,26,95
2011,11,27,102
2011,11,28,53
2011,11,29,76
2011,11,30,77
2011,12,01,89
2011,12,02,64
2011,12,03,87
2011,12,04,84
2011,12,05,60
2011,12,06,55
2011,12,07,69
2011,12,08,74
2011,12,09,62
2011,12,10,48
2011,12,11,41
2011,12,12,66
2011,12,13,77
2011,12,14,50
2011,12,15,50
2011,12,16,41
2011,12,17,45
2011,12,18,26
2011,12,19,21
2011,12,20,61
2011,12,21,61
2011,12,22,94
2011,12,23,90
2011,12,24,64
2011,12,25,97
2011,12,26,113
2011,12,27,89
2011,12,28,69
2011,12,29,70
2011,12,30,51
2011,12,31,83
2012,01,01,113
2012,01,02,73
2012,01,03,73
2012,01,04,73
2012,01,05,72
2012,01,06,67
2012,01,07,79
2012,01,08,72
2012,01,09,80
2012,01,10,68
2012,01,11,87
2012,01,12,79
2012,01,13,55
2012,01,14,40
2012,01,15,20
2012,01,16,-2
2012,01,17,-7
2012,01,18,31
2012,01,19,67
2012,01,20,47
2012,01,21,78
2012,01,22,68
2012,01,23,53
2012,01,24,34
2012,01,25,45
2012,01,26,50
2012,01,27,33
2012,01,28,30
2012,01,29,-5
2012,01,30,-17
2012,01,31,-36
2012,02,01,-40
2012,02,02,-55
2012,02,03,-69
2012,02,04,-115
2012,02,05,-67
2012,02,06,-71
2012,02,07,-77
2012,02,08,-32
2012,02,09,-43
2012,02,10,-57
2012,02,11,-71
2012,02,12,-32
2012,02,13,27
2012,02,14,48
2012,02,15,56
2012,02,16,56
2012,02,17,67
2012,02,18,68
2012,02,19,28
2012,02,20,27
2012,02,21,67
2012,02,22,71
2012,02,23,97
2012,02,24,77
2012,02,25,56
2012,02,26,64
2012,02,27,65
2012,02,28,86
2012,02,29,78
2012,03,01,85
2012,03,02,74
2012,03,03,90
2012,03,04,69
2012,03,05,59
2012,03,06,61
2012,03,07,44
2012,03,08,56
2012,03,09,74
2012,03,10,89
2012,03,11,77
2012,03,12,74
2012,03,13,78
2012,03,14,62
2012,03,15,79
2012,03,16,80
2012,03,17,89
2012,03,18,64
2012,03,19,50
2012,03,20,74
2012,03,21,94
2012,03,22,117
2012,03,23,118
2012,03,24,103
2012,03,25,92
2012,03,26,101
2012,03,27,103
2012,03,28,97
2012,03,29,84
2012,03,30,83
2012,03,31,68
2012,04,01,54
2012,04,02,80
2012,04,03,89
2012,04,04,70
2012,04,05,55
2012,04,06,54
2012,04,07,51
2012,04,08,65
2012,04,09,90
2012,04,10,96
2012,04,11,81
2012,04,12,75
2012,04,13,70
2012,04,14,74
2012,04,15,66
2012,04,16,53
2012,04,17,50
2012,04,18,81
2012,04,19,86
2012,04,20,80
2012,04,21,77
2012,04,22,94
2012,04,23,95
2012,04,24,90
2012,04,25,98
2012,04,26,114
2012,04,27,124
2012,04,28,97
2012,04,29,121
2012,04,30,156
2012,05,01,135
2012,05,02,139
2012,05,03,122
2012,05,04,93
2012,05,05,88
2012,05,06,89
2012,05,07,105
2012,05,08,128
2012,05,09,151
2012,05,10,177
2012,05,11,132
2012,05,12,89
2012,05,13,96
2012,05,14,109
2012,05,15,95
2012,05,16,81
2012,05,17,107
2012,05,18,134
2012,05,19,144
2012,05,20,155
2012,05,21,185
2012,05,22,204
2012,05,23,216
2012,05,24,216
2012,05,25,203
2012,05,26,201
2012,05,27,203
2012,05,28,158
2012,05,29,132
2012,05,30,150
2012,05,31,138
2012,06,01,122
2012,06,02,120
2012,06,03,92
2012,06,04,89
2012,06,05,117
2012,06,06,139
2012,06,07,160
2012,06,08,153
2012,06,09,129
2012,06,10,146
2012,06,11,154
2012,06,12,131
2012,06,13,117
2012,06,14,130
2012,06,15,148
2012,06,16,163
2012,06,17,163
2012,06,18,144
2012,06,19,153
2012,06,20,177
2012,06,21,177
2012,06,22,157
2012,06,23,159
2012,06,24,136
2012,06,25,139
2012,06,26,164
2012,06,27,181
2012,06,28,221
2012,06,29,188
2012,06,30,185
2012,07,01,156
2012,07,02,171
2012,07,03,189
2012,07,04,218
2012,07,05,220
2012,07,06,192
2012,07,07,185
2012,07,08,168
2012,07,09,165
2012,07,10,165
2012,07,11,154
2012,07,12,144
2012,07,13,156
2012,07,14,148
2012,07,15,146
2012,07,16,156
2012,07,17,170
2012,07,18,166
2012,07,19,150
2012,07,20,147
2012,07,21,137
2012,07,22,158
2012,07,23,199
2012,07,24,218
2012,07,25,220
2012,07,26,205
2012,07,27,204
2012,07,28,179
2012,07,29,163
2012,07,30,155
2012,07,31,153
2012,08,01,201
2012,08,02,179
2012,08,03,182
2012,08,04,178
2012,08,05,177
2012,08,06,173
2012,08,07,166
2012,08,08,169
2012,08,09,163
2012,08,10,165
2012,08,11,165
2012,08,12,193
2012,08,13,191
2012,08,14,208
2012,08,15,222
2012,08,16,188
2012,08,17,219
2012,08,18,244
2012,08,19,249
2012,08,20,203
2012,08,21,200
2012,08,22,182
2012,08,23,175
2012,08,24,182
2012,08,25,172
2012,08,26,160
2012,08,27,172
2012,08,28,179
2012,08,29,179
2012,08,30,158
2012,08,31,137
2012,09,01,152
2012,09,02,162
2012,09,03,172
2012,09,04,178
2012,09,05,156
2012,09,06,149
2012,09,07,171
2012,09,08,183
2012,09,09,199
2012,09,10,189
2012,09,11,156
2012,09,12,130
2012,09,13,137
2012,09,14,153
2012,09,15,141
2012,09,16,150
2012,09,17,168
2012,09,18,132
2012,09,19,100
2012,09,20,114
2012,09,21,130
2012,09,22,108
2012,09,23,96
2012,09,24,139
2012,09,25,134
2012,09,26,133
2012,09,27,122
2012,09,28,136
2012,09,29,129
2012,09,30,124
2012,10,01,142
2012,10,02,140
2012,10,03,129
2012,10,04,118
2012,10,05,126
2012,10,06,103
2012,10,07,93
2012,10,08,91
2012,10,09,93
2012,10,10,96
2012,10,11,95
2012,10,12,114
2012,10,13,90
2012,10,14,89
2012,10,15,102
2012,10,16,110
2012,10,17,117
2012,10,18,142
2012,10,19,163
2012,10,20,143
2012,10,21,126
2012,10,22,152
2012,10,23,140
2012,10,24,121
2012,10,25,108
2012,10,26,59
2012,10,27,43
2012,10,28,57
2012,10,29,81
2012,10,30,69
2012,10,31,80
2012,11,01,79
2012,11,02,68
2012,11,03,65
2012,11,04,58
2012,11,05,67
2012,11,06,77
2012,11,07,104
2012,11,08,106
2012,11,09,90
2012,11,10,98
2012,11,11,81
2012,11,12,65
2012,11,13,91
2012,11,14,85
2012,11,15,35
2012,11,16,38
2012,11,17,54
2012,11,18,59
2012,11,19,46
2012,11,20,93
2012,11,21,67
2012,11,22,74
2012,11,23,59
2012,11,24,44
2012,11,25,100
2012,11,26,77
2012,11,27,63
2012,11,28,59
2012,11,29,35
2012,11,30,23
2012,12,01,39
2012,12,02,33
2012,12,03,35
2012,12,04,51
2012,12,05,13
2012,12,06,8
2012,12,07,5
2012,12,08,-10
2012,12,09,62
2012,12,10,33
2012,12,11,5
2012,12,12,23
2012,12,13,-10
2012,12,14,49
2012,12,15,79
2012,12,16,68
2012,12,17,61
2012,12,18,53
2012,12,19,53
2012,12,20,33
2012,12,21,51
2012,12,22,71
2012,12,23,109
2012,12,24,96
2012,12,25,84
2012,12,26,77
2012,12,27,72
2012,12,28,67
2012,12,29,106
2012,12,30,81
2012,12,31,94
2013,01,01,71
2013,01,02,68
2013,01,03,101
2013,01,04,91
2013,01,05,81
2013,01,06,80
2013,01,07,71
2013,01,08,77
2013,01,09,67
2013,01,10,54
2013,01,11,6
2013,01,12,4
2013,01,13,-14
2013,01,14,-31
2013,01,15,-25
2013,01,16,-53
2013,01,17,-46
2013,01,18,-15
2013,01,19,-39
2013,01,20,-47
2013,01,21,-21
2013,01,22,-42
2013,01,23,-45
2013,01,24,-37
2013,01,25,-46
2013,01,26,-14
2013,01,27,32
2013,01,28,49
2013,01,29,105
2013,01,30,98
2013,01,31,76
2013,02,01,49
2013,02,02,41
2013,02,03,49
2013,02,04,78
2013,02,05,34
2013,02,06,24
2013,02,07,22
2013,02,08,9
2013,02,09,-2
2013,02,10,-5
2013,02,11,-16
2013,02,12,-5
2013,02,13,-8
2013,02,14,-6
2013,02,15,43
2013,02,16,55
2013,02,17,33
2013,02,18,24
2013,02,19,33
2013,02,20,3
2013,02,21,-5
2013,02,22,-11
2013,02,23,-8
2013,02,24,5
2013,02,25,20
2013,02,26,26
2013,02,27,10
2013,02,28,17
2013,03,01,36
2013,03,02,31
2013,03,03,43
2013,03,04,47
2013,03,05,87
2013,03,06,108
2013,03,07,83
2013,03,08,81
2013,03,09,37
2013,03,10,2
2013,03,11,-17
2013,03,12,-20
2013,03,13,2
2013,03,14,-2
2013,03,15,9
2013,03,16,49
2013,03,17,55
2013,03,18,53
2013,03,19,31
2013,03,20,9
2013,03,21,6
2013,03,22,5
2013,03,23,0
2013,03,24,-5
2013,03,25,3
2013,03,26,6
2013,03,27,12
2013,03,28,1
2013,03,29,1
2013,03,30,8
2013,03,31,18
2013,04,01,28
2013,04,02,39
2013,04,03,38
2013,04,04,31
2013,04,05,42
2013,04,06,48
2013,04,07,37
2013,04,08,60
2013,04,09,68
2013,04,10,53
2013,04,11,60
2013,04,12,74
2013,04,13,94
2013,04,14,155
2013,04,15,120
2013,04,16,113
2013,04,17,143
2013,04,18,118
2013,04,19,77
2013,04,20,66
2013,04,21,72
2013,04,22,88
2013,04,23,109
2013,04,24,121
2013,04,25,144
2013,04,26,73
2013,04,27,64
2013,04,28,70
2013,04,29,83
2013,04,30,84
2013,05,01,99
2013,05,02,112
2013,05,03,123
2013,05,04,117
2013,05,05,123
2013,05,06,152
2013,05,07,166
2013,05,08,157
2013,05,09,123
2013,05,10,126
2013,05,11,106
2013,05,12,94
2013,05,13,112
2013,05,14,97
2013,05,15,112
2013,05,16,93
2013,05,17,90
2013,05,18,100
2013,05,19,109
2013,05,20,108
2013,05,21,97
2013,05,22,90
2013,05,23,74
2013,05,24,75
2013,05,25,85
2013,05,26,94
2013,05,27,124
2013,05,28,160
2013,05,29,116
2013,05,30,134
2013,05,31,139
2013,06,01,103
2013,06,02,114
2013,06,03,107
2013,06,04,145
2013,06,05,157
2013,06,06,164
2013,06,07,161
2013,06,08,136
2013,06,09,124
2013,06,10,124
2013,06,11,157
2013,06,12,176
2013,06,13,158
2013,06,14,151
2013,06,15,145
2013,06,16,143
2013,06,17,169
2013,06,18,217
2013,06,19,209
2013,06,20,190
2013,06,21,157
2013,06,22,156
2013,06,23,151
2013,06,24,132
2013,06,25,133
2013,06,26,133
2013,06,27,126
2013,06,28,141
2013,06,29,138
2013,06,30,169
2013,07,01,156
2013,07,02,169
2013,07,03,162
2013,07,04,177
2013,07,05,181
2013,07,06,194
2013,07,07,196
2013,07,08,192
2013,07,09,183
2013,07,10,161
2013,07,11,150
2013,07,12,153
2013,07,13,167
2013,07,14,167
2013,07,15,189
2013,07,16,193
2013,07,17,205
2013,07,18,209
2013,07,19,207
2013,07,20,191
2013,07,21,233
2013,07,22,253
2013,07,23,241
2013,07,24,203
2013,07,25,209
2013,07,26,212
2013,07,27,214
2013,07,28,203
2013,07,29,202
2013,07,30,176
2013,07,31,195
2013,08,01,246
2013,08,02,245
2013,08,03,197
2013,08,04,196
2013,08,05,217
2013,08,06,184
2013,08,07,162
2013,08,08,172
2013,08,09,181
2013,08,10,164
2013,08,11,176
2013,08,12,169
2013,08,13,155
2013,08,14,166
2013,08,15,168
2013,08,16,192
2013,08,17,200
2013,08,18,187
2013,08,19,165
2013,08,20,166
2013,08,21,177
2013,08,22,179
2013,08,23,204
2013,08,24,191
2013,08,25,186
2013,08,26,188
2013,08,27,187
2013,08,28,183
2013,08,29,176
2013,08,30,181
2013,08,31,167
2013,09,01,154
2013,09,02,174
2013,09,03,194
2013,09,04,199
2013,09,05,230
2013,09,06,193
2013,09,07,173
2013,09,08,145
2013,09,09,130
2013,09,10,135
2013,09,11,152
2013,09,12,152
2013,09,13,147
2013,09,14,151
2013,09,15,132
2013,09,16,121
2013,09,17,114
2013,09,18,114
2013,09,19,127
2013,09,20,136
2013,09,21,145
2013,09,22,163
2013,09,23,161
2013,09,24,149
2013,09,25,149
2013,09,26,132
2013,09,27,110
2013,09,28,124
2013,09,29,124
2013,09,30,114
2013,10,01,106
2013,10,02,107
2013,10,03,127
2013,10,04,159
2013,10,05,146
2013,10,06,125
2013,10,07,123
2013,10,08,149
2013,10,09,130
2013,10,10,93
2013,10,11,90
2013,10,12,91
2013,10,13,85
2013,10,14,102
2013,10,15,91
2013,10,16,103
2013,10,17,128
2013,10,18,113
2013,10,19,127
2013,10,20,143
2013,10,21,145
2013,10,22,169
2013,10,23,155
2013,10,24,113
2013,10,25,144
2013,10,26,151
2013,10,27,143
2013,10,28,133
2013,10,29,106
2013,10,30,102
2013,10,31,104
2013,11,01,111
2013,11,02,106
2013,11,03,95
2013,11,04,84
2013,11,05,74
2013,11,06,109
2013,11,07,109
2013,11,08,79
2013,11,09,83
2013,11,10,61
2013,11,11,66
2013,11,12,74
2013,11,13,62
2013,11,14,75
2013,11,15,61
2013,11,16,54
2013,11,17,74
2013,11,18,60
2013,11,19,58
2013,11,20,28
2013,11,21,30
2013,11,22,46
2013,11,23,53
2013,11,24,66
2013,11,25,54
2013,11,26,56
2013,11,27,78
2013,11,28,88
2013,11,29,76
2013,11,30,63
2013,12,01,69
2013,12,02,42
2013,12,03,28
2013,12,04,58
2013,12,05,61
2013,12,06,39
2013,12,07,64
2013,12,08,90
2013,12,09,90
2013,12,10,34
2013,12,11,14
2013,12,12,18
2013,12,13,22
2013,12,14,63
2013,12,15,81
2013,12,16,98
2013,12,17,62
2013,12,18,74
2013,12,19,68
2013,12,20,60
2013,12,21,71
2013,12,22,80
2013,12,23,77
2013,12,24,99
2013,12,25,57
2013,12,26,51
2013,12,27,73
2013,12,28,63
2013,12,29,47
2013,12,30,52
2013,12,31,66
2014,01,01,68
2014,01,02,83
2014,01,03,85
2014,01,04,76
2014,01,05,57
2014,01,06,107
2014,01,07,101
2014,01,08,83
2014,01,09,91
2014,01,10,69
2014,01,11,56
2014,01,12,27
2014,01,13,61
2014,01,14,49
2014,01,15,46
2014,01,16,73
2014,01,17,72
2014,01,18,67
2014,01,19,58
2014,01,20,41
2014,01,21,35
2014,01,22,31
2014,01,23,36
2014,01,24,48
2014,01,25,41
2014,01,26,54
2014,01,27,40
2014,01,28,44
2014,01,29,3
2014,01,30,2
2014,01,31,27
2014,02,01,61
2014,02,02,46
2014,02,03,40
2014,02,04,59
2014,02,05,70
2014,02,06,72
2014,02,07,74
2014,02,08,69
2014,02,09,56
2014,02,10,50
2014,02,11,52
2014,02,12,55
2014,02,13,51
2014,02,14,51
2014,02,15,95
2014,02,16,57
2014,02,17,60
2014,02,18,63
2014,02,19,77
2014,02,20,81
2014,02,21,67
2014,02,22,61
2014,02,23,75
2014,02,24,78
2014,02,25,81
2014,02,26,61
2014,02,27,48
2014,02,28,53
2014,03,01,59
2014,03,02,61
2014,03,03,52
2014,03,04,60
2014,03,05,59
2014,03,06,71
2014,03,07,73
2014,03,08,91
2014,03,09,109
2014,03,10,95
2014,03,11,83
2014,03,12,88
2014,03,13,86
2014,03,14,63
2014,03,15,96
2014,03,16,102
2014,03,17,101
2014,03,18,94
2014,03,19,101
2014,03,20,125
2014,03,21,77
2014,03,22,65
2014,03,23,56
2014,03,24,52
2014,03,25,59
2014,03,26,47
2014,03,27,85
2014,03,28,107
2014,03,29,117
2014,03,30,135
2014,03,31,146
2014,04,01,128
2014,04,02,129
2014,04,03,144
2014,04,04,121
2014,04,05,121
2014,04,06,132
2014,04,07,148
2014,04,08,90
2014,04,09,103
2014,04,10,116
2014,04,11,103
2014,04,12,97
2014,04,13,103
2014,04,14,87
2014,04,15,68
2014,04,16,88
2014,04,17,107
2014,04,18,80
2014,04,19,106
2014,04,20,155
2014,04,21,122
2014,04,22,131
2014,04,23,140
2014,04,24,144
2014,04,25,166
2014,04,26,136
2014,04,27,117
2014,04,28,131
2014,04,29,129
2014,04,30,115
2014,05,01,127
2014,05,02,99
2014,05,03,84
2014,05,04,88
2014,05,05,129
2014,05,06,144
2014,05,07,135
2014,05,08,126
2014,05,09,126
2014,05,10,117
2014,05,11,108
2014,05,12,110
2014,05,13,105
2014,05,14,101
2014,05,15,105
2014,05,16,127
2014,05,17,148
2014,05,18,169
2014,05,19,187
2014,05,20,198
2014,05,21,179
2014,05,22,178
2014,05,23,164
2014,05,24,159
2014,05,25,156
2014,05,26,164
2014,05,27,159
2014,05,28,133
2014,05,29,105
2014,05,30,127
2014,05,31,135
2014,06,01,137
2014,06,02,141
2014,06,03,153
2014,06,04,150
2014,06,05,127
2014,06,06,164
2014,06,07,199
2014,06,08,193
2014,06,09,219
2014,06,10,191
2014,06,11,166
2014,06,12,172
2014,06,13,172
2014,06,14,157
2014,06,15,152
2014,06,16,150
2014,06,17,150
2014,06,18,156
2014,06,19,141
2014,06,20,137
2014,06,21,155
2014,06,22,149
2014,06,23,159
2014,06,24,161
2014,06,25,146
2014,06,26,166
2014,06,27,169
2014,06,28,165
2014,06,29,156
2014,06,30,139
2014,07,01,148
2014,07,02,152
2014,07,03,189
2014,07,04,220
2014,07,05,193
2014,07,06,183
2014,07,07,174
2014,07,08,150
2014,07,09,156
2014,07,10,213
2014,07,11,197
2014,07,12,187
2014,07,13,188
2014,07,14,178
2014,07,15,173
2014,07,16,197
2014,07,17,220
2014,07,18,250
2014,07,19,264
2014,07,20,213
2014,07,21,194
2014,07,22,225
2014,07,23,235
2014,07,24,221
2014,07,25,190
2014,07,26,204
2014,07,27,198
2014,07,28,195
2014,07,29,207
2014,07,30,177
2014,07,31,195
2014,08,01,199
2014,08,02,212
2014,08,03,197
2014,08,04,183
2014,08,05,187
2014,08,06,181
2014,08,07,195
2014,08,08,191
2014,08,09,189
2014,08,10,186
2014,08,11,178
2014,08,12,164
2014,08,13,170
2014,08,14,164
2014,08,15,158
2014,08,16,163
2014,08,17,160
2014,08,18,142
2014,08,19,130
2014,08,20,125
2014,08,21,137
2014,08,22,133
2014,08,23,123
2014,08,24,129
2014,08,25,131
2014,08,26,141
2014,08,27,148
2014,08,28,167
2014,08,29,172
2014,08,30,166
2014,08,31,149
2014,09,01,156
2014,09,02,174
2014,09,03,172
2014,09,04,180
2014,09,05,185
2014,09,06,176
2014,09,07,171
2014,09,08,147
2014,09,09,152
2014,09,10,144
2014,09,11,162
2014,09,12,166
2014,09,13,172
2014,09,14,165
2014,09,15,172
2014,09,16,186
2014,09,17,190
2014,09,18,194
2014,09,19,186
2014,09,20,179
2014,09,21,159
2014,09,22,141
2014,09,23,136
2014,09,24,136
2014,09,25,149
2014,09,26,163
2014,09,27,156
2014,09,28,163
2014,09,29,163
2014,09,30,157
2014,10,01,162
2014,10,02,161
2014,10,03,156
2014,10,04,155
2014,10,05,131
2014,10,06,136
2014,10,07,125
2014,10,08,128
2014,10,09,146
2014,10,10,136
2014,10,11,118
2014,10,12,128
2014,10,13,144
2014,10,14,123
2014,10,15,137
2014,10,16,143
2014,10,17,146
2014,10,18,174
2014,10,19,169
2014,10,20,150
2014,10,21,118
2014,10,22,104
2014,10,23,125
2014,10,24,119
2014,10,25,121
2014,10,26,126
2014,10,27,128
2014,10,28,91
2014,10,29,114
2014,10,30,128
2014,10,31,131
2014,11,01,144
2014,11,02,142
2014,11,03,121
2014,11,04,87
2014,11,05,65
2014,11,06,54
2014,11,07,78
2014,11,08,98
2014,11,09,99
2014,11,10,95
2014,11,11,92
2014,11,12,94
2014,11,13,84
2014,11,14,98
2014,11,15,95
2014,11,16,86
2014,11,17,96
2014,11,18,81
2014,11,19,81
2014,11,20,71
2014,11,21,57
2014,11,22,83
2014,11,23,106
2014,11,24,73
2014,11,25,51
2014,11,26,51
2014,11,27,74
2014,11,28,65
2014,11,29,30
2014,11,30,24
2014,12,01,15
2014,12,02,12
2014,12,03,-1
2014,12,04,-1
2014,12,05,37
2014,12,06,44
2014,12,07,45
2014,12,08,47
2014,12,09,33
2014,12,10,74
2014,12,11,73
2014,12,12,73
2014,12,13,47
2014,12,14,27
2014,12,15,58
2014,12,16,53
2014,12,17,84
2014,12,18,116
2014,12,19,93
2014,12,20,78
2014,12,21,83
2014,12,22,116
2014,12,23,111
2014,12,24,83
2014,12,25,54
2014,12,26,27
2014,12,27,15
2014,12,28,7
2014,12,29,47
2014,12,30,55
2014,12,31,57
2015,01,01,35
2015,01,02,76
2015,01,03,46
2015,01,04,35
2015,01,05,29
2015,01,06,32
2015,01,07,42
2015,01,08,68
2015,01,09,98
2015,01,10,92
2015,01,11,66
2015,01,12,90
2015,01,13,83
2015,01,14,44
2015,01,15,77
2015,01,16,51
2015,01,17,27
2015,01,18,25
2015,01,19,2
2015,01,20,6
2015,01,21,-3
2015,01,22,-8
2015,01,23,-29
2015,01,24,24
2015,01,25,45
2015,01,26,66
2015,01,27,55
2015,01,28,52
2015,01,29,30
2015,01,30,13
2015,01,31,15
2015,02,01,29
2015,02,02,25
2015,02,03,13
2015,02,04,-1
2015,02,05,-1
2015,02,06,0
2015,02,07,24
2015,02,08,51
2015,02,09,59
2015,02,10,58
2015,02,11,43
2015,02,12,36
2015,02,13,55
2015,02,14,69
2015,02,15,25
2015,02,16,13
2015,02,17,39
2015,02,18,25
2015,02,19,37
2015,02,20,52
2015,02,21,31
2015,02,22,30
2015,02,23,60
2015,02,24,55
2015,02,25,42
2015,02,26,62
2015,02,27,43
2015,02,28,52
2015,03,01,79
2015,03,02,52
2015,03,03,47
2015,03,04,54
2015,03,05,54
2015,03,06,64
2015,03,07,77
2015,03,08,82
2015,03,09,80
2015,03,10,71
2015,03,11,38
2015,03,12,63
2015,03,13,48
2015,03,14,42
2015,03,15,57
2015,03,16,68
2015,03,17,83
2015,03,18,55
2015,03,19,77
2015,03,20,49
2015,03,21,65
2015,03,22,45
2015,03,23,34
2015,03,24,54
2015,03,25,59
2015,03,26,47
